_id,state,event,venue,Year,time,food_type,food,budget
00000001,Arunachal Pradesh,Housewarming,Both,2013,Evening,,,959447
00000002,Uttarakhand,Wedding,Indoor,2013,Afternoon,,,616592
00000003,Kerala,Baptism,Outdoor,2013,Afternoon,Vegetarian,,1990785
00000004,Sikkim,First Holy Communion,Both,2018,Afternoon,Vegetarian,,405619
00000005,Jharkhand,Wedding,Outdoor,2019,Afternoon,Non-vegetarian,,51418
00000006,Sikkim,First Holy Communion,Indoor,2015,Evening,,,507956
00000007,Odisha,Orientation,Outdoor,2016,Evening,Vegetarian,,566924
00000008,Meghalaya,Engagement,Outdoor,2019,Evening,Non-vegetarian,,181174
00000009,Gujarat,Housewarming,Outdoor,2015,Afternoon,Vegetarian,,619534
0000000a,Arunachal Pradesh,Orientation,Indoor,2010,Morning,Specific,South Indian,225932
0000000b,Assam,Conference,Both,2012,Evening,,,402481
0000000c,Arunachal Pradesh,Wedding,Outdoor,2014,Afternoon,Specific,South Indian,1646399
0000000d,Chhattisgarh,Housewarming,Outdoor,2015,Evening,Specific,Goan,1267662
0000000e,Bihar,First Holy Communion,Both,2012,Evening,Specific,North-East Style,1050356
0000000f,Haryana,Birthday,Indoor,2017,Evening,Non-vegetarian,,410127
00000010,Karnataka,Wedding,Outdoor,2013,Evening,Specific,Kerala Style,512469
00000011,Manipur,First Holy Communion,Indoor,2012,Morning,,,1408343
00000012,Kerala,First Holy Communion,Indoor,2016,Morning,Non-vegetarian,,97701
00000013,Assam,First Holy Communion,Indoor,2013,Afternoon,Vegetarian,,1999825
00000014,Arunachal Pradesh,Orientation,Both,2019,Evening,Vegetarian,,1957310
00000015,Madhya Pradesh,Baptism,Both,2014,Morning,Non-vegetarian,,1926607
00000016,Jharkhand,Birthday,Both,2018,Evening,Specific,North Indian,695285
00000017,West Bengal,Housewarming,Both,2010,Afternoon,Specific,Goan,1537467
00000018,Nagaland,Wedding,Indoor,2015,Evening,Vegetarian,,1704498
00000019,Haryana,Conference,Both,2015,Evening,Non-vegetarian,,1614132
0000001a,Andhra Pradesh,Orientation,Indoor,2016,Evening,Vegetarian,,775654
0000001b,West Bengal,Orientation,Both,2016,Evening,Vegetarian,,1713510
0000001c,Arunachal Pradesh,Wedding,Outdoor,2017,Afternoon,Specific,North Indian,129456
0000001d,Tamil Nadu,Conference,Indoor,2015,Afternoon,Vegetarian,,1724821
0000001e,Meghalaya,Housewarming,Outdoor,2010,Afternoon,Vegetarian,,1638623
0000001f,Tamil Nadu,Birthday,Outdoor,2010,Afternoon,Non-vegetarian,,1149790
00000020,Uttar Pradesh,Baptism,Indoor,2016,Morning,,,371007
00000021,Manipur,Orientation,Indoor,2012,Morning,Vegetarian,,160763
00000022,Tripura,Baptism,Indoor,2016,Morning,Non-vegetarian,,746799
00000023,Manipur,Baptism,Outdoor,2016,Afternoon,Specific,Kerala Style,201954
00000024,Himachal Pradesh,Orientation,Indoor,2013,Afternoon,Non-vegetarian,,1158228
00000025,West Bengal,Baptism,Outdoor,2017,Morning,Non-vegetarian,,551617
00000026,Himachal Pradesh,Baptism,Indoor,2013,Afternoon,Vegetarian,,951508
00000027,Arunachal Pradesh,Engagement,Outdoor,2015,Afternoon,Vegetarian,,1688931
00000028,Jharkhand,Engagement,Indoor,2019,Afternoon,Non-vegetarian,,1585088
00000029,Uttar Pradesh,Housewarming,Both,2010,Morning,Non-vegetarian,,1213586
0000002a,Arunachal Pradesh,First Holy Communion,Outdoor,2019,Evening,Vegetarian,,1550312
0000002b,Tripura,Birthday,Both,2017,Afternoon,Vegetarian,,664779
0000002c,Bihar,Housewarming,Both,2017,Afternoon,,,455212
0000002d,Rajasthan,Wedding,Indoor,2010,Afternoon,,,593010
0000002e,Uttarakhand,Housewarming,Outdoor,2013,Afternoon,Vegetarian,,807616
0000002f,Meghalaya,Housewarming,Outdoor,2012,Morning,Non-vegetarian,,1161557
00000030,Uttar Pradesh,Wedding,Outdoor,2018,Evening,Non-vegetarian,,250195
00000031,Tripura,First Holy Communion,Outdoor,2017,Afternoon,Specific,South Indian,964838
00000032,Sikkim,Housewarming,Indoor,2013,Evening,Non-vegetarian,,1104048
00000033,Chhattisgarh,Wedding,Outdoor,2015,Morning,,,1910551
00000034,Madhya Pradesh,Conference,Both,2016,Afternoon,Vegetarian,,1552285
00000035,Odisha,Engagement,Both,2018,Morning,Specific,South Indian,585328
00000036,Chhattisgarh,Orientation,Indoor,2012,Afternoon,,,1413277
00000037,Mizoram,Wedding,Outdoor,2013,Morning,Vegetarian,,1789988
00000038,Madhya Pradesh,Birthday,Both,2011,Morning,Vegetarian,,731999
00000039,Andhra Pradesh,First Holy Communion,Both,2013,Evening,Vegetarian,,1170335
0000003a,Uttar Pradesh,Housewarming,Outdoor,2015,Evening,Specific,South Indian,1055060
0000003b,Kerala,Orientation,Indoor,2015,Evening,Vegetarian,,1285030
0000003c,Manipur,Housewarming,Indoor,2019,Morning,Specific,North-East Style,1957368
0000003d,Gujarat,Engagement,Both,2012,Evening,Non-vegetarian,,1859330
0000003e,Rajasthan,First Holy Communion,Both,2013,Afternoon,Specific,South Indian,978064
0000003f,West Bengal,Engagement,Outdoor,2018,Morning,,,587478
00000040,Manipur,First Holy Communion,Outdoor,2011,Evening,,,1941808
00000041,Meghalaya,Wedding,Both,2014,Evening,,,500966
00000042,Gujarat,Housewarming,Outdoor,2010,Evening,Specific,South Indian,202207
00000043,Goa,Wedding,Outdoor,2018,Evening,Specific,South Indian,1579495
00000044,Rajasthan,Wedding,Outdoor,2012,Evening,Vegetarian,,837274
00000045,Rajasthan,Wedding,Indoor,2011,Afternoon,Vegetarian,,716646
